name,manufacturer,type,image,phase,item,expectedState,notes,category
Boeing 737-800,Boeing,Airliner,,Preflight,Oxygen,TESTED & SET 100%,,
Boeing 737-800,Boeing,Airliner,,Preflight,Navigation & Display Switches,NORMAL / AUTO,,
Boeing 737-800,Boeing,Airliner,,Preflight,Window Heat,ON,,
Boeing 737-800,Boeing,Airliner,,Preflight,Pressurization Mode Selector,AUTO,,
Boeing 737-800,Boeing,Airliner,,Preflight,Flight Instruments,HEADING / ALTIMETER SET,,
Boeing 737-800,Boeing,Airliner,,Preflight,Parking Brake,SET,,
Boeing 737-800,Boeing,Airliner,,Preflight,Engine Start Levers,CUTOFF,,
Boeing 737-800,Boeing,Airliner,,Before Start,Flight Deck Door,CLOSED & LOCKED,,
Boeing 737-800,Boeing,Airliner,,Before Start,Fuel,REQUIRED QUANTITY / CROSSFEED OFF,,
Boeing 737-800,Boeing,Airliner,,Before Start,Passenger Signs,ON / AUTO,,
Boeing 737-800,Boeing,Airliner,,Before Start,Anti-Collision Light,ON,,
Boeing 737-800,Boeing,Airliner,,Before Start,Hydraulic Pumps,ON,,
Boeing 737-800,Boeing,Airliner,,Engine Start,Engine Area,CLEAR,,
Boeing 737-800,Boeing,Airliner,,Engine Start,Engine Start Switch,GRD,,
Boeing 737-800,Boeing,Airliner,,Engine Start,N2 Rotation,CONFIRM,,
Boeing 737-800,Boeing,Airliner,,Engine Start,Engine Start Lever,IDLE,,
Boeing 737-800,Boeing,Airliner,,Engine Start,Oil Pressure,CHECK,,
Boeing 737-800,Boeing,Airliner,,Engine Start,N1 & EGT,STABILIZED,,
Boeing 737-800,Boeing,Airliner,,Engine Start,Generator,ON,,
Boeing 737-800,Boeing,Airliner,,Before Taxi,Generators,ON,,
Boeing 737-800,Boeing,Airliner,,Before Taxi,Probe Heat,ON,,
Boeing 737-800,Boeing,Airliner,,Before Taxi,Anti-Ice,AS REQUIRED,,
Boeing 737-800,Boeing,Airliner,,Before Taxi,Autobrake,RTO,,
Boeing 737-800,Boeing,Airliner,,Before Taxi,Flight Controls,CHECKED,,
Boeing 737-800,Boeing,Airliner,,Before Taxi,Ground Equipment,CLEAR,,
Boeing 737-800,Boeing,Airliner,,Before Takeoff,Flaps,SET ___ / GREEN LIGHT,,
Boeing 737-800,Boeing,Airliner,,Before Takeoff,Stabilizer Trim,___ UNITS / GREEN BAND,,
Boeing 737-800,Boeing,Airliner,,Before Takeoff,Takeoff Briefing,REVIEWED,,
Boeing 737-800,Boeing,Airliner,,Before Takeoff,Cabin,SECURE,,
Boeing 737-800,Boeing,Airliner,,Before Takeoff,Transponder,TA/RA,,
