name,manufacturer,type,image,checklist category,phase,item,expectedState,notes
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Preflight inspection and W&B,Complete,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Doors,Unlocked,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Pax. Briefing,Complete,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Cabin doors,Latched,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Crew doors,Unlocked,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Parking brake,Set,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,"Seats, belts, harnesses","Adjusted, secure (check pin)",
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Switches,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Ignition,Norm,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Circuit breakers,Check in,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Fuel tank selectors,Both on,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Radar,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Air conditioner,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Inverter,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Bleed air,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Cabin Heat Mixing,Flt-Push,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Emergency power lever,Normal,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Power lever,Idle,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Propeller,Full forward,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Fuel condition lever,Cutoff,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Rudder lock,Turn and push to unlock,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Fuel shutoff,On (push in),
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Battery switch,On,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Wing flaps,Up,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,NS/FSB,As required,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Fire detector test,Press,
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Annunciator panel,Test (incl. fuel warning horn),
C208B Sample,Unknown,GA,,Normal Checklist,Before Starting Engine,Annunciator day/night,Set,
C208B Sample,Unknown,GA,,Normal Checklist,Engine Start (Battery),Battery,On,
C208B Sample,Unknown,GA,,Normal Checklist,Engine Start (Battery),Volt/ammeter,Check (24 V minimum),
C208B Sample,Unknown,GA,,Normal Checklist,Engine Start (Battery),Emergency power lever,Normal (annunciator),
C208B Sample,Unknown,GA,,Normal Checklist,Engine Start (Battery),Propeller area,Clear,
